YEAR,CURRENT_SIZE,SIZE_CLASS,LATITUDE,LONGITUDE,GENERAL_CAUSE,RESPONSIBLE_GROUP,ACTIVITY_CLASS,TRUE_CAUSE,FIRE_START_DATE,FIRE_SPREAD_RATE,FIRE_TYPE,FIRE_POSITION_ON_SLOPE,WEATHER_CONDITIONS_OVER_FIRE,TEMPERATURE,RELATIVE_HUMIDITY,WIND_DIRECTION,WIND_SPEED,DISTANCE_FROM_WATER_SOURCE
2006,0.01,A,58.481884,-114.52339,Resident,Resident,Refuse,Abandoned Fire,7/13/2006 0:00,0.0,Ground,Flat,Cloudy,15.0,50.0,E,15.0,
2006,0.01,A,54.536017,-119.543717,Lightning,,,,7/3/2006 17:50,0.1,Surface,Upper 1/3,Cloudy,26.0,35.0,SE,10.0,
2006,0.01,A,53.183333,-117.500233,Undetermined,,,,7/14/2006 15:45,0.0,Ground,Flat,Cloudy,21.4,35.0,S,16.0,
2006,0.01,A,54.4354,-118.95075,Forest Industry,Operators,Heavy Equipment,Unpredictable Event,7/13/2006 18:15,0.0,Surface,Flat,Clear,17.0,55.0,W,10.0,
2006,0.13,B,54.564932,-117.885394,Lightning,,,,7/3/2006 17:00,0.1,Ground,Upper 1/3,Clear,24.0,20.0,W,10.0,1.0
2006,0.01,A,53.595534,-115.862518,Lightning,,,,7/15/2006 3:00,0.0,Surface,Flat,Cloudy,16.0,60.0,NW,5.0,
2006,0.01,A,52.041833,-115.90565,Recreation,Campers,Cooking,Abandoned Fire,7/3/2006 12:30,0.0,Surface,Flat,Clear,24.0,33.0,E,9.0,
2006,0.5,B,54.2551,-118.2748,Lightning,,,,7/4/2006 13:10,5.0,Surface,Middle 1/3,Clear,23.0,30.0,W,15.0,0.1
2006,2851.4,E,57.223833,-112.907667,Lightning,,,,6/27/2006 17:02,10.0,Surface,Flat,CB Dry,27.0,30.0,SE,25.0,0.4
2006,35.0,C,58.072283,-113.139267,Lightning,,,,7/6/2006 14:00,0.0,Ground,Flat,Cloudy,21.0,35.0,NE,10.0,
2006,0.25,B,56.36125,-113.7664,Lightning,,,,7/18/2006 11:50,0.5,Surface,Flat,CB Dry,17.0,73.0,NW,10.0,
2006,470.0,E,57.816067,-113.505,Lightning,,,,6/27/2006 0:00,1.5,Crown,Flat,Clear,29.0,26.0,SW,33.0,
2006,0.01,A,58.120227,-110.80928,Recreation,Campers,Cooking,Abandoned Fire,6/10/2006 8:00,0.0,Ground,Flat,Cloudy,14.5,62.0,SE,5.0,
2006,0.01,A,56.425456,-118.769746,Resident,Resident,Slash,Permit Related,7/30/2006 12:00,0.0,Surface,Flat,Clear,15.0,77.0,SW,10.0,
2006,0.01,A,54.3505,-115.251333,Lightning,,,,7/31/2006 22:00,0.2,Surface,Flat,Cloudy,18.0,35.0,N,10.0,0.5
2006,584.0,E,57.998567,-112.699817,Lightning,,,,6/27/2006 9:09,2.0,Crown,Flat,Clear,14.0,71.0,SE,20.0,
2006,473.0,E,57.98385,-112.771683,Lightning,,,,6/27/2006 9:28,3.0,Crown,Flat,Clear,29.0,26.0,SW,33.0,2.0
2006,0.01,A,56.255376,-117.343267,Resident,Mechanized Travel,Unclassified,Unpredictable Event,8/23/2006 11:55,0.0,Surface,Flat,Clear,18.0,40.0,NE,5.0,
2006,0.01,A,54.208425,-116.065794,Recreation,Campers,Cooking,Abandoned Fire,8/20/2006 10:00,0.0,Surface,Flat,Clear,18.0,51.0,SE,8.0,
2006,0.01,A,54.679533,-117.677167,Restart,,,,8/23/2006 17:00,0.1,Surface,Middle 1/3,CB Dry,21.0,40.0,CLM,0.0,0.5
2006,0.01,A,56.628104,-117.476653,Resident,Resident,Piles,Permit Related,8/23/2006 11:00,0.0,Ground,Flat,Cloudy,18.0,38.0,NW,10.0,
2006,0.01,A,57.184417,-118.328683,Lightning,,,,8/23/2006 18:00,0.1,Surface,Flat,CB Wet,15.0,100.0,S,5.0,1.0
2006,0.03,A,54.367683,-115.762217,Lightning,,,,8/19/2006 0:00,0.0,Surface,Flat,Cloudy,16.0,40.0,W,5.0,
2006,0.01,A,53.442267,-115.9553,Oil & Gas Industry,Contractors or Agents,Unclassified,Burning Substance,8/18/2006 10:00,0.0,Ground,Flat,Clear,24.0,47.0,CLM,0.0,
2006,0.9,B,54.344133,-117.99285,Lightning,,,,7/4/2006 16:15,35.0,Crown,Flat,CB Wet,25.0,26.0,W,20.0,3.0
2006,0.3,B,54.645848,-111.894848,Resident,Resident,Grass,Unattended Fire,8/24/2006 13:50,1.0,Ground,Flat,Cloudy,22.0,40.0,NW,20.0,
2006,0.01,A,57.8066,-113.468533,Lightning,,,,8/24/2006 16:20,0.1,Surface,Flat,CB Dry,23.0,32.0,E,3.0,1.0
2006,0.01,A,54.970833,-111.623333,Lightning,,,,8/24/2006 17:20,0.0,Surface,Flat,Cloudy,17.0,67.0,N,6.0,
2006,0.01,A,55.9074,-115.642467,Resident,Resident,Children,Burning Substance,5/5/2006 11:20,3.0,Surface,Flat,Clear,18.0,44.0,SW,18.0,
2006,0.01,A,53.281933,-116.593583,Lightning,,,,7/3/2006 19:00,0.0,Surface,Flat,Clear,25.0,40.0,S,5.0,
2006,0.4,B,55.227167,-116.3708,Resident,Resident,Grass,Permit Related,7/4/2006 12:40,4.0,Surface,Flat,Clear,33.0,44.0,CLM,0.0,
2006,0.01,A,52.235173,-115.434833,Lightning,,,,7/3/2006 15:30,0.0,Surface,Lower 1/3,Clear,31.0,30.0,SE,12.0,
2006,0.01,A,53.357669,-116.666628,Lightning,,,,7/3/2006 20:00,1.0,Surface,Flat,Clear,35.0,20.0,E,5.0,0.5
2006,0.1,A,53.308167,-117.146917,Lightning,,,,7/3/2006 18:30,4.0,Surface,Flat,Cloudy,28.0,25.0,E,5.0,0.5
2006,0.1,A,54.015167,-116.09775,Lightning,,,,7/4/2006 14:55,1.0,Surface,Middle 1/3,CB Dry,25.0,35.0,E,10.0,0.5
2006,0.01,A,54.913883,-115.478167,Lightning,,,,7/4/2006 14:50,0.1,Surface,Middle 1/3,CB Wet,20.0,66.0,CLM,0.0,1.0
2006,0.2,B,53.379383,-116.4373,Lightning,,,,7/4/2006 14:00,0.5,Ground,Flat,CB Dry,33.0,13.0,NE,5.0,0.1
2006,2.06,B,57.536,-111.725,Lightning,,,,6/18/2006 14:01,1.0,Surface,Flat,Cloudy,20.0,50.0,SW,5.0,1.0
2006,0.01,A,56.998,-110.836667,Lightning,,,,6/17/2006 20:35,0.0,Surface,Flat,Cloudy,27.0,52.0,SW,3.0,
2006,0.65,B,54.272164,-118.879939,Lightning,,,,7/3/2006 21:00,0.1,Surface,Middle 1/3,Clear,28.0,27.0,NE,5.0,0.4
2006,6300.0,E,53.561129,-119.636335,Lightning,,,,7/4/2006 15:15,30.0,Crown,Middle 1/3,Cloudy,24.0,20.0,W,14.0,
2006,0.03,A,56.43195,-118.695533,Restart,,,,7/2/2006 15:00,0.1,Ground,Flat,Cloudy,26.0,31.0,S,1.0,
2006,0.5,B,53.389267,-117.235367,Lightning,,,,7/4/2006 16:00,0.1,Surface,Flat,Clear,20.0,20.0,SW,5.0,1.0
2006,0.01,A,51.67925,-115.259333,Lightning,,,,7/10/2006 0:00,0.0,Surface,Upper 1/3,Cloudy,25.0,29.0,CLM,0.0,1.0
2006,0.01,A,56.02985,-113.744933,Lightning,,,,7/15/2006 18:00,0.0,Ground,Flat,Cloudy,15.0,80.0,W,5.0,1.0
2006,0.7,B,56.658,-115.394333,Lightning,,,,7/9/2006 13:00,0.1,Ground,Flat,Clear,27.0,45.0,SW,4.0,1.0
2006,0.01,A,53.334333,-116.775333,Lightning,,,,7/3/2006 15:40,0.5,Surface,Flat,Cloudy,20.0,35.0,NW,5.0,
2006,0.05,A,52.433333,-116.177,Lightning,,,,7/15/2006 0:00,0.5,Surface,Flat,Clear,21.0,35.0,N,7.0,1.0
2006,0.25,B,55.10118,-117.184807,Resident,Mechanized Travel,Heavy Equipment,Unpredictable Event,7/16/2006 14:00,0.0,Surface,Flat,Cloudy,19.0,45.0,SW,15.0,
2006,0.1,A,56.2775,-111.404333,Lightning,,,,7/1/2006 1:25,1.0,Surface,Flat,Clear,14.5,55.0,NW,15.0,5.0
2006,0.01,A,52.87795,-116.897317,Recreation,Campers,Cooking,Abandoned Fire,7/16/2006 9:00,0.0,Surface,Flat,Cloudy,25.0,55.0,CLM,0.0,
2006,0.1,A,52.805062,-115.955656,Lightning,,,,7/4/2006 15:45,0.0,Ground,Flat,Clear,17.0,40.0,W,10.0,0.5
2006,0.01,A,52.814267,-114.877283,Recreation,Campers,Vehicle Trans.,Unpredictable Event,7/2/2006 2:00,0.5,Surface,Bottom,Clear,32.0,18.0,CLM,0.0,
2006,0.01,A,57.1545,-112.3785,Lightning,,,,7/5/2006 17:57,0.4,Surface,Flat,CB Wet,19.0,35.0,NE,15.0,
2006,0.01,A,49.58843,-114.44279,Recreation,Campers,Cooking,Abandoned Fire,7/16/2006 0:00,0.0,Surface,Lower 1/3,Clear,20.0,30.0,E,30.0,
2006,0.01,A,52.5996,-115.829583,Lightning,,,,7/17/2006 13:40,0.0,Surface,Flat,Cloudy,21.0,35.0,CLM,0.0,2.0
2006,0.1,A,52.773717,-115.9133,Lightning,,,,7/4/2006 17:00,0.0,Surface,Flat,Rainshowers,28.0,25.0,W,15.0,3.0
2006,0.01,A,54.03194,-115.555827,Recreation,Campers,Cooking,Abandoned Fire,7/2/2006 12:00,0.0,Surface,Bottom,Clear,25.0,25.0,CLM,0.0,
2006,627.0,E,58.002317,-112.606217,Lightning,,,,6/27/2006 9:32,1.0,Crown,Flat,Cloudy,29.0,26.0,SW,33.0,
2006,0.01,A,53.803567,-115.705833,Resident,Resident,Refuse,Permit Related,7/24/2006 15:45,0.0,Surface,Flat,Cloudy,22.0,56.0,NW,10.0,
2006,3.8,B,57.190667,-110.567667,Lightning,,,,6/18/2006 17:39,2.0,Ground,Flat,Cloudy,19.0,43.0,W,15.0,1.0
2006,0.01,A,51.165717,-114.911567,Resident,Resident,Slash,Unsafe Fire,7/31/2006 22:00,0.0,Surface,Lower 1/3,Clear,4.0,80.0,N,5.0,
2006,3.7,B,52.794125,-115.889379,Lightning,,,,7/4/2006 15:00,0.0,Ground,Flat,Clear,20.0,40.0,W,10.0,
2006,0.03,A,54.046283,-117.874033,Lightning,,,,7/24/2006 18:00,0.5,Surface,Flat,Cloudy,24.0,40.0,W,10.0,1.5
2006,0.2,B,52.709033,-116.4315,Lightning,,,,7/6/2006 20:45,0.0,Surface,Middle 1/3,Cloudy,17.0,31.0,CLM,0.0,0.3
2006,0.01,A,54.717383,-119.38325,Lightning,,,,7/3/2006 17:45,0.0,Surface,Bottom,Cloudy,10.0,65.0,W,25.0,
2006,0.01,A,56.166167,-113.257667,Lightning,,,,7/18/2006 12:04,0.0,Surface,Flat,Rainshowers,16.0,70.0,CLM,0.0,
2006,0.01,A,55.256283,-117.340133,Lightning,,,,8/1/2006 14:30,0.0,Ground,Flat,Cloudy,19.0,40.0,W,15.0,
2006,0.01,A,50.729367,-114.690783,Lightning,,,,7/20/2006 21:00,0.0,Surface,Upper 1/3,Clear,10.0,40.0,W,5.0,
2006,0.01,A,55.74505,-116.382433,Resident,Resident,Piles,Permit Related,11/15/2005 15:00,0.1,Surface,Flat,Clear,14.0,25.0,W,10.0,
2006,0.01,A,55.538567,-116.68675,Lightning,,,,8/24/2006 18:00,0.1,Surface,Flat,Clear,19.0,40.0,SW,15.0,1.0
2006,0.01,A,53.575481,-116.50988,Resident,Resident,Piles,Permit Related,8/25/2006 8:30,0.0,Ground,Flat,Clear,20.0,30.0,W,5.0,
2006,0.01,A,52.8665,-116.948667,Recreation,Campers,Cooking,Abandoned Fire,8/24/2006 16:00,0.0,Surface,Flat,Clear,24.0,50.0,CLM,0.0,
2006,0.03,A,49.213367,-114.226967,Lightning,,,,8/19/2006 14:00,0.5,Surface,Upper 1/3,Clear,24.0,28.0,W,5.0,
2006,0.01,A,55.04323,-118.856897,Resident,Resident,Refuse,Permit Related,8/13/2006 12:00,0.0,Ground,Flat,Clear,10.0,67.0,W,7.0,
2006,0.01,A,56.943233,-112.016033,Lightning,,,,8/25/2006 18:00,0.1,Surface,Upper 1/3,Clear,21.0,36.0,W,10.0,0.2
2006,0.02,A,54.335667,-116.684333,Oil & Gas Industry,Operators,Grass,Burning Substance,7/31/2006 14:23,5.0,Surface,Flat,Cloudy,22.0,40.0,SE,15.0,
2006,0.01,A,53.9696,-118.51255,Oil & Gas Industry,Contractors or Agents,Smoking,Burning Substance,8/26/2006 15:55,0.0,Ground,Flat,Clear,19.0,25.0,NW,5.0,
2006,0.01,A,54.42305,-114.483033,Power Line Industry,Others (explain in remarks),Power Lines,Burning Substance,8/26/2006 12:00,0.0,Surface,Flat,Clear,28.0,30.0,W,15.0,
2006,0.1,A,53.969517,-118.512417,Oil & Gas Industry,Contractors or Agents,Unclassified,Burning Substance,8/26/2006 15:55,0.0,Surface,Middle 1/3,Clear,19.0,25.0,NW,5.0,2.0
2006,0.1,A,53.77555,-115.713367,Lightning,,,,8/23/2006 20:00,0.1,Surface,Bottom,Clear,21.0,40.0,CLM,0.0,
2006,0.5,B,57.0904,-113.739667,Lightning,,,,7/4/2006 17:00,3.0,Surface,Flat,Cloudy,26.0,30.0,SE,15.0,0.1
2006,0.1,A,57.01975,-113.658117,Lightning,,,,7/4/2006 16:05,0.1,Crown,Flat,CB Wet,12.0,100.0,W,10.0,
2006,0.01,A,54.3199,-117.99165,Lightning,,,,7/4/2006 16:55,1.0,Crown,Lower 1/3,Clear,25.0,26.0,W,15.0,1.0
2006,0.02,A,53.157383,-116.228433,Lightning,,,,7/3/2006 17:00,0.0,Surface,Flat,Cloudy,23.0,40.0,E,5.0,0.1
2006,0.01,A,58.262002,-116.03277,Lightning,,,,7/4/2006 2:00,0.0,Surface,Flat,Cloudy,28.0,40.0,N,5.0,
2006,0.1,A,58.419667,-117.501833,Lightning,,,,7/4/2006 18:15,1.0,Surface,Flat,Clear,27.0,60.0,CLM,0.0,3.0
2006,0.01,A,52.953483,-116.50225,Lightning,,,,7/3/2006 20:00,0.0,Surface,Flat,Cloudy,20.0,50.0,S,4.0,
2006,0.01,A,57.01775,-118.232667,Lightning,,,,7/2/2006 21:49,2.0,Ground,Flat,Clear,24.5,46.0,SW,7.0,2.0
2006,0.01,A,52.576017,-115.06295,Oil & Gas Industry,,,,7/4/2006 12:00,0.0,Surface,Flat,Cloudy,30.0,33.0,SW,2.0,0.5
2006,0.01,A,51.7968,-115.343417,Lightning,,,,7/4/2006 15:30,0.5,Surface,Middle 1/3,CB Wet,12.0,30.0,W,15.0,10.0
2006,0.05,A,54.401642,-116.54555,Lightning,,,,7/4/2006 19:15,0.5,Crown,Flat,CB Dry,26.0,25.0,W,10.0,1.0
2006,1.0,B,57.398333,-113.350217,Lightning,,,,7/4/2006 18:46,2.0,Surface,Flat,Clear,27.5,38.0,SE,13.0,1.0
2006,0.01,A,54.223333,-116.9825,Lightning,,,,7/4/2006 20:00,0.0,Surface,Flat,CB Dry,25.0,30.0,E,10.0,1.0
2006,0.01,A,54.176217,-117.007667,Lightning,,,,7/4/2006 19:58,0.0,Surface,Flat,Cloudy,22.0,45.0,NW,5.0,
2006,0.01,A,54.123783,-116.980633,Lightning,,,,7/4/2006 20:00,0.0,Surface,Flat,Cloudy,20.0,80.0,CLM,0.0,
2006,0.01,A,55.18095,-117.78535,Lightning,,,,7/3/2006 21:20,0.0,Surface,Flat,Cloudy,20.0,50.0,NE,25.0,2.5
2006,0.1,A,55.582667,-114.271833,Lightning,,,,7/17/2006 15:19,0.0,Crown,Upper 1/3,Cloudy,21.0,60.0,SW,5.0,4.0
2006,0.36,B,56.204484,-110.258373,Lightning,,,,7/17/2006 14:00,0.1,Surface,Flat,Cloudy,22.5,43.0,NW,10.0,1.6
2006,0.1,A,59.311877,-118.649546,Lightning,,,,7/17/2006 14:27,0.1,Ground,Flat,Clear,22.0,30.0,W,5.0,
2006,0.01,A,52.9776,-116.5623,Lightning,,,,7/17/2006 11:00,0.0,Surface,Lower 1/3,CB Wet,22.0,30.0,NW,15.0,0.5
2006,0.01,A,52.084121,-116.002976,Recreation,Campers,Cooking,Abandoned Fire,6/30/2006 8:00,0.0,Surface,Lower 1/3,Clear,22.0,30.0,NW,5.0,
2006,0.01,A,53.035833,-116.466167,Lightning,,,,7/17/2006 17:20,0.1,Surface,Flat,Cloudy,19.0,50.0,E,15.0,2.0
2006,0.01,A,55.195277,-113.408933,Lightning,,,,7/17/2006 17:30,0.0,Surface,Flat,Cloudy,21.5,74.0,CLM,0.0,1.5
2006,0.01,A,52.636833,-115.889333,Lightning,,,,7/17/2006 17:30,0.0,Surface,Flat,Clear,25.0,37.0,CLM,0.0,2.0
2006,0.1,A,56.870033,-118.041667,Lightning,,,,7/17/2006 18:00,0.1,Surface,Flat,CB Wet,18.0,70.0,W,10.0,
