latitude,longitude,area
51.29047,-62.56176,202.3
50.26619,-66.49015,2.5
48.3738,-71.36928,0.2
48.51079,-70.95927,0.8
48.61751,-71.38538,0.4
48.6247,-71.37449,48.5
48.55126,-71.47011,30.3
48.42116,-70.83198,0.4
48.69994,-71.72275,0.4
48.86661,-71.79642,20.2
48.43645,-71.55622,2.4
48.86931,-71.8442,0.8
48.85762,-72.0724,4.8
48.45893,-71.03316,3.2
48.36031,-71.2995,0.1
48.6301,-71.38673,64.7
48.95534,-72.0532,15.5
48.95624,-72.04224,10.3
48.68016,-72.41394,8.9
48.50899,-71.29532,2.4
49.29317,-73.70725,0.4
48.68915,-71.45096,121.4
48.6283,-71.55612,1.6
48.61211,-71.4864,1.6
48.59862,-71.62179,2.4
48.21163,-72.22976,0.8
48.34952,-71.29138,0.2
48.69814,-72.47275,79.3
48.33693,-72.12473,0.8
48.29137,-72.15856,0.8
48.25899,-72.20272,0.4
48.29227,-72.13693,1.2
48.6211,-71.38402,48.5
49.96163,-74.37892,1.2
48.63549,-71.54251,0.2
48.84682,-72.6325,22.6
48.52608,-71.5426,2.4
48.54407,-71.14629,0.8
50.29407,-73.87444,1.2
49.7563,-74.98608,0.4
48.42026,-71.14092,32.3
48.92206,-72.65982,53.4
48.6283,-72.56973,1.2
49.10312,-72.36859,56.9
48.44005,-71.31978,2.0
49.10672,-72.37545,33.7
49.91846,-74.3054,0.8
49.34772,-72.31263,951.0
48.5036,-72.45114,1.2
48.93735,-72.64613,4.8
49.86931,-74.37202,141.6
50.38459,-73.8941,0.4
49.43825,-74.32504,0.2
51.17566,-73.87363,36.4
52.3747,-73.12837,1133.1
50.78777,-71.33049,8.9
49.381,-72.47099,0.2
49.86481,-72.88179,12.1
49.75719,-72.89579,0.1
49.67566,-71.39165,14.9
49.17566,-73.29619,0.8
49.69005,-70.65694,1.2
50.79946,-74.41524,20.2
50.83783,-74.38818,50.5
50.26259,-73.31927,0.8
50.53148,-72.79372,6.0
49.54946,-73.89587,2.8
49.59592,-73.90834,4.8
49.46703,-74.57088,1.0
49.26259,-72.05577,0.2
49.60582,-72.53476,0.1
49.381,-70.63904,1.6
49.83873,-74.05963,0.8
50.35132,-74.03964,0.8
50.1328,-72.79124,30.3
49.86031,-72.96931,4.8
49.83603,-73.0,8.0
50.03507,-74.16247,0.8
50.18016,-73.2912,0.4
50.51349,-73.91384,0.4
49.84412,-71.70816,388.4
49.95624,-74.30118,1.2
49.83513,-71.38878,0.4
49.36211,-70.99862,0.2
49.77338,-74.89996,0.8
48.44365,-70.80622,2.4
48.46793,-71.04671,0.6
49.03687,-70.62414,1.2
49.20444,-72.57232,0.1
49.28238,-71.31127,0.4
48.70444,-71.72547,0.1
50.8738,-70.24002,2.0
49.43645,-72.21543,3.6
49.04047,-71.82099,0.1
49.18196,-73.04894,0.1
50.0027,-74.24021,0.4
49.93915,-74.1513,0.4
49.77158,-74.45683,0.8
48.35402,-72.56303,0.1
49.93016,-74.20809,0.4
50.02788,-74.2472,0.2
48.71523,-72.69957,65.5
45.93196,-76.71121,4.8
45.8756,-74.73967,2.0
45.86211,-74.9115,1.6
45.91936,-77.19958,4.0
45.78957,-75.61895,0.8
46.1256,-75.5457,12.9
46.02158,-76.11875,1.6
45.95534,-75.61751,1.6
45.93825,-75.97414,0.8
45.86211,-76.04976,1.2
46.21073,-75.90237,2.4
45.85851,-74.39471,0.8
46.33513,-74.80338,0.8
46.1328,-74.78532,4.4
46.91846,-75.3719,8.0
45.76709,-76.47808,1.6
46.29047,-75.91016,0.4
45.94095,-74.73965,1.2
46.59592,-74.82025,0.8
45.93645,-76.73578,1.2
45.79047,-75.07044,28.3
45.8747,-75.24742,10.1
45.94095,-75.82945,3.2
45.85492,-75.87664,0.8
45.86931,-75.07171,0.8
46.36211,-74.91015,1.2
46.09592,-75.71239,0.8
47.3837,-77.03552,5.6
46.60672,-75.9856,8.0
46.1238,-75.72535,6.0
45.94724,-77.2293,1.6
46.43196,-74.83333,0.4
46.19904,-74.72661,1.2
45.69275,-75.80115,1.2
45.8819,-75.86628,6.4
46.53597,-75.05719,1.2
46.08693,-74.32685,0.8
46.3837,-74.90102,1.2
45.95084,-73.88304,0.4
46.3801,-74.87365,2.8
47.92746,-74.66398,0.8
45.84233,-75.80881,8.0
45.95804,-74.56134,2.8
46.10492,-74.47665,6.4
45.96433,-75.05616,8.0
45.66936,-75.98327,0.8
45.94454,-74.38175,0.8
45.92566,-74.36754,0.4
45.78327,-73.61895,8.0
46.76169,-75.88647,1.2
45.68196,-74.39221,1.6
46.86481,-75.32413,0.8
46.01079,-75.6317,0.4
45.6283,-75.71785,0.4
46.34772,-74.15233,1.6
46.35042,-77.71873,0.4
45.6238,-74.74228,6.0
47.04676,-77.32673,2.4
46.18285,-74.16017,0.4
46.35222,-75.49739,1.2
45.77788,-75.88572,2.0
46.17656,-74.90887,1.6
45.69275,-75.45623,0.4
46.01619,-73.73705,0.4
47.5027,-76.8714,12.1
46.71343,-75.30185,2.4
45.83963,-74.3101,1.2
46.03687,-73.74223,9.3
46.27518,-75.0417,1.2
46.02338,-75.5652,0.4
46.16757,-74.70715,0.4
46.381,-74.86974,2.0
46.27698,-75.03909,0.8
45.86841,-73.41408,16.1
46.6211,-74.22774,1416.3
46.21163,-75.05084,1.6
46.11931,-74.53922,1.2
46.77698,-75.40353,0.8
47.11931,-76.88891,43.7
46.21343,-75.04824,0.8
46.09592,-74.97536,2.8
45.94185,-74.04712,0.8
45.94634,-74.6214,0.8
45.96253,-74.13303,0.4
45.85132,-74.21385,0.4
46.17116,-75.48961,1.6
46.3837,-74.87886,48.5
45.631,-75.95499,0.4
47.6328,-75.63998,0.4
46.03687,-76.39076,80.9
46.04946,-74.82685,0.4
45.95714,-74.16149,0.4
46.44095,-75.55984,0.8
47.70264,-74.87658,19.4
45.94275,-74.32428,2.8
46.33693,-74.53253,0.4
45.70264,-74.49871,0.4
47.86751,-74.55116,0.4
47.42656,-76.79744,0.8
46.29946,-74.80079,0.4
46.26439,-78.13935,1.2
46.20983,-76.03265,0.4
48.26169,-74.4946,0.4
46.51079,-74.73824,0.4
46.03597,-73.95336,0.4
46.04137,-73.89335,0.4
47.18825,-79.32936,8.0
48.77248,-78.30604,12.1
47.21253,-79.40343,2.0
48.09233,-77.63301,0.2
47.5009,-78.99734,0.8
48.86661,-79.24316,16.1
48.11841,-79.12086,3.2
48.17926,-77.3816,1.6
48.02878,-78.28358,0.4
48.79946,-78.78555,0.8
48.60582,-79.40307,12.1
48.58963,-79.2432,20.2
48.94634,-79.46577,20.2
48.76079,-79.04923,1.6
48.68465,-78.79247,2.0
48.7536,-79.37302,8.0
48.19814,-79.08333,40.4
47.96613,-79.15055,2.0
47.71613,-79.37389,0.4
47.52968,-79.41001,8.0
47.54676,-78.57134,1.2
47.41936,-79.24468,6.4
48.61481,-78.36906,1.2
48.78957,-79.29921,0.4
48.79676,-78.90028,20.2
48.26169,-79.20947,4.0
48.20714,-79.15047,20.2
48.20534,-76.55634,1.6
48.1229,-79.29426,0.8
47.54946,-78.57267,1.2
49.11931,-79.28936,20.2
48.79047,-79.49317,20.2
48.79227,-79.05603,2.0
48.68915,-78.96322,20.2
47.46073,-79.47074,0.4
48.61571,-79.22007,40.4
48.61211,-79.37858,40.4
48.5027,-79.13952,14.1
48.17116,-79.13026,8.0
49.16936,-79.25,4.0
48.2518,-78.88695,161.8
49.03597,-79.28395,8.0
48.20893,-78.96086,24.2
48.2545,-79.12615,10.1
48.21793,-78.95276,8.0
48.7527,-77.44953,2.0
48.01439,-78.14919,0.8
48.79317,-78.90301,4.0
48.84682,-79.22267,40.4
48.58963,-78.15443,0.8
49.02788,-79.24589,2.0
47.45174,-79.47606,2.0
48.94454,-79.70618,101.1
48.58693,-79.13132,0.8
48.29497,-79.06171,8.0
47.52878,-79.40601,3.2
48.6265,-79.42789,16.1
48.26799,-79.05631,6.0
47.71523,-79.24332,242.8
47.61481,-79.39932,0.4
48.59412,-78.73504,0.8
48.67926,-78.15305,0.4
48.0036,-77.62769,0.4
