Date,Latitude,Longtitude,vNDVI,VARI,Area
1972-05-23,49.42116,-68.15008,0.233223,0.33800697,7.2
1972-05-24,48.61931,-69.11633,0.28317443,0.4097722,0.8
1972-05-24,48.46163,-69.54129,0.11513997,0.18682426,0.6
1972-05-25,48.33693,-69.41531,0.13268949,0.19780903,0.2
1972-05-25,49.19724,-68.2211,0.25036964,0.32450318,0.1
1972-05-25,49.44005,-70.30567,0.21711877,0.32019463,0.1
1972-05-25,48.93465,-68.65435,-0.042375777,-0.060832154,0.2
1972-05-26,48.93016,-68.66119,-0.02874365,-0.0377693,0.2
1972-05-28,49.44814,-70.32365,0.19927967,0.29044446,0.3
1972-05-29,49.10582,-68.39057,0.040277377,0.06027955,1.2
1972-05-19,49.71343,-68.61799,0.18341294,0.28479394,0.3
1972-06-06,48.76259,-69.12574,0.11741173,0.16609061,0.1
1972-06-06,48.70893,-69.1176,0.08987882,0.13452198,0.1
1972-06-08,50.26169,-69.58193,0.16256924,0.24502933,0.4
1972-06-11,50.08693,-68.82072,0.17014593,0.25006613,0.6
1972-06-11,49.01349,-69.46709,0.23768696,0.35731408,70.8
1972-06-18,48.59053,-69.30886,0.2256929,0.3818932,0.9
1972-07-07,49.41757,-69.16528,0.24686228,0.34288722,0.8
1972-07-07,49.52158,-69.30424,0.12507135,0.16884856,4.0
1972-07-07,49.6301,-69.46112,0.15063487,0.22276376,0.2
1972-07-07,49.13459,-69.91254,0.13372825,0.1788816,0.2
1972-07-07,49.1319,-69.91529,0.23633568,0.31578842,4.8
1972-07-08,50.78957,-69.05061,0.2321593,0.36118782,0.1
1972-07-07,49.6301,-69.45557,0.24899273,0.39876342,20.2
1972-07-08,50.59053,-64.71034,0.124507695,0.1849696,56.6
1972-07-07,49.77428,-69.58194,0.15066022,0.2082222,0.2
1972-07-08,50.44454,-68.65537,0.2327609,0.35240695,4.5
1972-07-09,50.59322,-66.20325,0.15764748,0.22179526,263.0
1972-07-08,51.77878,-59.23837,0.095572114,0.14219484,242.8
1972-07-09,50.78327,-63.48862,0.19820088,0.28965276,12.1
1972-07-09,50.1328,-67.98176,0.13520363,0.19699924,0.1
1972-07-09,50.93735,-68.82905,0.13398266,0.22879094,0.1
1972-07-10,52.10132,-67.6652,0.07913782,0.11492041,8.4
1972-07-10,52.20893,-69.89025,0.13005674,0.17771515,9.7
1972-07-10,51.85132,-59.03238,0.07890226,0.10575873,242.8
1972-07-08,51.86481,-59.13463,0.07900207,0.1272453,242.8
1972-07-10,50.8828,-63.28772,0.17164513,0.30328932,1.2
1972-07-10,51.85762,-59.12153,0.12712479,0.20640148,4.0
1972-07-10,51.78597,-58.81589,0.08562003,0.13106097,16.1
1972-07-09,51.28058,-63.30314,0.12942444,0.18789114,12.1
